#time	step	cpu	threads
398504	306	1	31
399584	307	1	31
400693	308	1	31
401804	309	2	31
402894	310	1	31
404035	311	2	31
405119	312	1	31
406205	313	1	31
407282	314	1	31
408398	315	1	31
409464	316	1	31
410588	316	1	31
411908	317	1	31
413157	317	2	31
414266	318	3	31
415346	319	1	31
416471	320	1	31
417565	321	1	31
418630	322	1	31
419723	323	1	31
420909	323	1	31
421990	324	3	31
423100	325	1	31
424195	326	1	31
425274	327	1	31
426371	328	1	31
427450	329	1	31
428546	330	1	31
429648	331	1	31
430768	332	1	31
431866	333	1	31
432982	335	1	31
434061	336	2	31
435156	337	2	31
436223	337	1	31
437326	338	1	31
438431	340	2	31
439540	341	1	31
440637	342	1	31
441728	342	1	31
442817	343	1	31
443946	344	1	31
445110	345	1	31
446268	345	2	31
447421	346	2	31
448507	347	1	31
449614	348	1	31
450722	349	1	31
451879	349	1	31
453098	350	1	31
454238	350	2	31
455359	351	2	31
456437	352	1	31
457517	353	1	31
458599	354	1	31
459682	355	1	31
460757	357	1	31
461867	357	1	31
462963	358	1	31
464125	359	1	31
465279	360	2	31
466407	361	2	31
467504	362	2	31
468591	363	2	31
469715	364	1	31
470799	365	1	31
471906	366	1	31
473015	367	1	31
474183	368	1	31
475326	369	2	31
476423	370	2	31
477520	371	1	31
478608	372	1	31
479715	373	1	31
480810	374	2	32
481916	375	1	32
483028	375	1	32
484137	376	1	32
485217	377	1	32
486345	378	1	32
487461	379	1	32
488570	380	3	32
489678	381	1	32
490794	382	1	32
491909	383	1	32
493017	384	2	32
494129	385	1	32
495222	386	1	32
496304	387	1	32
497398	388	2	32
498476	389	1	32
499574	390	2	32
500652	391	1	32
501732	392	1	32
502812	393	1	32
503905	394	1	32
505007	395	2	32
506108	396	1	32
507233	397	1	32
508327	398	1	32
509444	399	2	32
510545	400	2	32
511623	401	2	32
512722	402	2	32
513846	403	1	32
514942	404	1	32
516071	405	1	32
517198	406	2	32
518310	407	1	32
519393	408	1	32
520502	410	1	32
521585	410	1	32
522660	412	1	32
524251	413	2	32
525347	414	1	32
526445	415	1	32
527515	416	1	32
528639	417	1	32
529796	418	2	32
530937	419	2	32
532041	420	2	32
533148	421	1	32
534241	422	1	32
535360	423	1	32
536446	424	2	32
537543	425	1	32
538668	426	1	32
539855	427	1	32
540936	427	2	32
542028	427	1	32
543129	428	2	32
544240	428	1	32
545307	429	1	32
546410	429	1	32
547507	429	1	32
548638	430	1	32
549729	430	1	32
550812	431	2	32
551928	431	1	32
553028	431	2	32
554151	432	1	32
555230	432	1	32
556310	433	1	32
557441	433	1	32
558505	434	2	32
559600	435	1	32
560699	436	2	32
561857	437	1	32
562954	438	1	32
564051	439	2	32
565163	440	1	32
566271	441	2	32
567383	442	1	32
568493	443	1	32
569570	444	1	32
570680	445	1	32
571764	446	1	32
572829	447	1	32
573953	448	2	32
575036	450	1	32
576150	451	1	32
577280	452	2	32
578390	453	2	32
579461	454	1	32
580592	455	1	32
581688	456	2	32
582801	457	1	32
583880	458	1	32
584973	459	1	32
586084	460	2	32
587169	461	1	32
588238	462	1	32
589363	463	2	32
590475	464	1	32
591545	466	1	32
592644	467	1	32
593712	468	1	32
594811	469	2	32
595901	470	1	32
596996	471	1	32
598107	472	1	32
599205	473	2	32
600297	474	1	32
601406	475	2	32
602501	476	1	32
603607	477	2	32
604691	478	1	32
605875	479	1	32
607022	481	2	32
608149	482	1	32
609259	483	1	32
610367	484	1	32
611442	484	2	32
612542	486	2	32
613645	487	2	32
614744	488	1	32
615843	489	2	32
616942	490	1	32
618021	491	1	32
619114	492	1	32
620224	493	1	32
621320	494	2	32
622399	495	2	32
623468	496	1	32
624541	498	1	32
625651	499	3	32
626727	500	1	32
627835	501	1	32
628931	502	2	32
630035	503	1	32
631115	504	2	32
632212	505	1	32
633299	506	1	32
634410	507	1	32
635552	508	1	32
636649	509	2	32
637749	510	1	32
638813	511	2	32
639879	513	1	32
640992	513	1	32
642092	514	1	32
643158	515	1	32
644252	517	2	32
645359	518	1	32
646442	519	1	32
647541	520	2	32
648623	521	1	32
649738	522	2	32
650817	523	1	32
651915	524	1	32
652991	525	1	32
654102	526	1	32
655206	527	1	32
656276	528	1	32
657389	529	1	32
658454	530	2	32
659553	532	1	32
660648	533	2	32
661741	534	1	32
662887	535	2	32
664014	536	2	32
665111	537	1	32
666178	538	1	32
667284	539	1	32
668363	540	1	32
669476	541	1	32
670586	542	1	32
671666	543	1	32
672776	544	1	32
673906	545	1	32
675004	547	2	32
676119	548	2	32
677187	549	2	32
678297	550	1	32
679368	551	1	32
680447	552	1	32
681530	553	2	32
682656	554	1	32
683734	555	1	32
684832	556	1	32
685929	557	1	32
686993	558	2	32
688091	559	2	32
689170	560	1	32
690281	561	2	32
691374	562	1	32
692497	563	1	32
693607	564	1	32
694745	565	1	32
695825	567	1	32
696918	568	2	32
698028	569	2	32
699105	570	2	32
700218	571	2	32
701315	572	1	32
702408	573	1	32
703509	574	2	32
704604	575	1	32
705696	576	1	32
706794	578	2	32
707893	579	1	32
708960	580	2	32
710087	581	1	32
711185	582	2	32
712264	583	1	32
713369	584	1	32
714454	585	1	32
715526	586	1	32
716648	586	1	32
718028	587	1	32
719113	588	1	32
720227	589	2	32
721365	590	2	32
722451	591	2	32
723547	592	1	32
724634	593	1	32
725730	594	1	32
726822	595	1	32
727914	596	1	32
729091	597	1	32
730279	597	1	32
