#time	step	frames	fps	min_frame	max_frame	max_jank	avg_jank	layer
168927	126	63	63	0.000001	24.412462	1	0	.Gravity_detector#0
170070	126	60	60	0.000001	20.881538	1	0	.Gravity_detector#0
171162	127	61	61	0.000001	7.834385	0	0	.Gravity_detector#0
172297	128	63	63	0.000001	22.229923	1	0	.Gravity_detector#0
173401	129	61	61	0.000001	23.774693	1	0	.Gravity_detector#0
174538	130	63	63	0.000001	27.979539	1	0	.Gravity_detector#0
175604	130	58	58	0.000001	22.869077	1	0	.Gravity_detector#0
176700	131	60	60	0.000001	23.036154	1	0	.Gravity_detector#0
177760	132	59	59	0.000001	22.894000	1	0	.Gravity_detector#0
178823	133	59	59	1.666154	22.926693	1	0	.Gravity_detector#0
179900	133	59	59	2.618692	23.812384	1	0	.Gravity_detector#0
181023	134	61	61	0.000001	28.819000	1	0	.Gravity_detector#0
182139	135	58	58	0.000001	22.389154	1	0	.Gravity_detector#0
183361	136	66	66	0.000001	21.479000	1	0	.Gravity_detector#0
184526	136	57	57	0.000001	7.884539	0	0	.Gravity_detector#0
185595	137	57	57	0.000001	22.627538	1	0	.Gravity_detector#0
186845	137	63	63	0.000001	37.918230	2	0	.Gravity_detector#0
188214	138	73	73	0.000001	22.733923	1	0	.Gravity_detector#0
189407	138	63	63	0.000001	19.230846	1	0	.Gravity_detector#0
190535	139	60	60	0.000001	6.022692	0	0	.Gravity_detector#0
191639	139	61	61	0.000001	6.281692	0	0	.Gravity_detector#0
192787	140	63	63	0.000001	23.243308	1	0	.Gravity_detector#0
193851	141	58	58	0.000001	24.229462	1	0	.Gravity_detector#0
194902	141	57	57	0.000001	23.721923	1	0	.Gravity_detector#0
196012	142	61	61	0.000001	23.920692	1	0	.Gravity_detector#0
197090	143	58	58	0.000001	24.349846	1	0	.Gravity_detector#0
198248	144	63	63	0.000001	5.144077	0	0	.Gravity_detector#0
199293	145	0	0	0.000000	0.000000	0	0	
201449	146	60	60	0.000001	23.018462	1	0	.Gravity_detector#0
202586	147	60	60	0.000001	6.061769	0	0	.Gravity_detector#0
203674	148	61	61	0.000001	5.635385	0	0	.Gravity_detector#0
204770	149	60	60	0.000001	22.885538	1	0	.Gravity_detector#0
205842	150	59	59	0.000001	6.735923	0	0	.Gravity_detector#0
206907	150	61	61	0.000001	6.559154	0	0	.Gravity_detector#0
207980	151	59	59	0.000001	5.870231	0	0	.Gravity_detector#0
209035	152	58	58	0.000001	24.405539	1	0	.Gravity_detector#0
210169	153	63	63	0.000001	6.544077	0	0	.Gravity_detector#0
211386	153	65	65	0.000001	23.268923	1	0	.Gravity_detector#0
212467	154	58	58	1.554615	23.073077	1	0	.Gravity_detector#0
213562	155	61	61	0.000001	23.599692	1	0	.Gravity_detector#0
214710	156	62	62	0.000001	23.208615	1	0	.Gravity_detector#0
215789	156	59	59	0.000001	22.753384	1	0	.Gravity_detector#0
216860	157	59	59	0.000001	23.774769	1	0	.Gravity_detector#0
217909	158	56	56	0.000001	23.423539	1	0	.Gravity_detector#0
218954	159	58	58	0.000001	22.974385	1	0	.Gravity_detector#0
220096	159	63	63	0.000001	23.518846	1	0	.Gravity_detector#0
221185	160	60	60	0.000001	28.028384	1	0	.Gravity_detector#0
222290	161	59	59	0.000001	23.772461	1	0	.Gravity_detector#0
223470	162	64	64	0.000001	27.369615	1	0	.Gravity_detector#0
224561	163	57	57	0.000001	8.306923	0	0	.Gravity_detector#0
225821	164	70	70	0.000001	21.438923	1	0	.Gravity_detector#0
226888	164	59	59	0.000001	23.590385	1	0	.Gravity_detector#0
227989	165	61	61	0.000001	23.101000	1	0	.Gravity_detector#0
229037	166	57	57	0.000001	26.359769	1	0	.Gravity_detector#0
230100	167	58	58	0.000001	6.436154	0	0	.Gravity_detector#0
231156	168	60	60	0.000001	6.513462	0	0	.Gravity_detector#0
232247	168	60	60	0.000001	23.544461	1	0	.Gravity_detector#0
233368	169	62	62	0.000001	7.198231	0	0	.Gravity_detector#0
234506	170	61	61	0.000001	24.869923	1	0	.Gravity_detector#0
235624	171	60	60	0.017231	23.837923	1	0	.Gravity_detector#0
236685	172	59	59	0.000001	22.662769	1	0	.Gravity_detector#0
237762	173	59	59	0.000001	23.618308	1	0	.Gravity_detector#0
238943	173	62	62	0.000001	6.949384	0	0	.Gravity_detector#0
240084	174	64	64	0.000001	22.934385	1	0	.Gravity_detector#0
241239	175	63	63	0.000001	6.703538	0	0	.Gravity_detector#0
242314	176	60	60	0.000001	6.919154	0	0	.Gravity_detector#0
243457	176	64	64	0.000001	22.841539	1	0	.Gravity_detector#0
244637	177	64	64	0.000001	23.523615	1	0	.Gravity_detector#0
245699	178	56	56	0.000001	6.612538	0	0	.Gravity_detector#0
246907	179	65	65	0.000001	23.834307	1	0	.Gravity_detector#0
248022	179	62	62	0.000001	7.165384	0	0	.Gravity_detector#0
249145	180	61	61	0.000001	24.873538	1	0	.Gravity_detector#0
250237	181	61	61	0.000001	23.667000	1	0	.Gravity_detector#0
251322	182	61	61	0.000001	7.615308	0	0	.Gravity_detector#0
252385	183	58	58	0.000001	2.926077	0	0	.Gravity_detector#0
253474	183	61	61	0.000001	6.162231	0	0	.Gravity_detector#0
254566	184	60	60	0.000001	7.978693	0	0	.Gravity_detector#0
255691	185	62	62	0.000001	7.234692	0	0	.Gravity_detector#0
256814	185	61	61	0.820000	23.866846	1	0	.Gravity_detector#0
257893	186	59	59	0.000001	23.229769	1	0	.Gravity_detector#0
258979	187	60	60	0.000001	23.540692	1	0	.Gravity_detector#0
260081	188	60	60	0.000001	6.521308	0	0	.Gravity_detector#0
261201	189	64	64	0.000001	7.343846	0	0	.Gravity_detector#0
262267	190	59	59	0.000001	7.912307	0	0	.Gravity_detector#0
263357	191	61	61	0.000001	23.070538	1	0	.Gravity_detector#0
264562	191	68	68	0.000001	6.278538	0	0	.Gravity_detector#0
265673	192	61	61	0.000001	25.166000	1	0	.Gravity_detector#0
266868	193	66	66	0.000001	25.179154	1	0	.Gravity_detector#0
267994	194	59	59	0.000001	6.867923	0	0	.Gravity_detector#0
269082	194	60	60	0.000001	13.560461	0	0	.Gravity_detector#0
270230	195	63	63	0.000001	24.272461	1	0	.Gravity_detector#0
271298	196	59	59	0.000001	22.211615	1	0	.Gravity_detector#0
272356	197	58	58	0.000001	25.887385	1	0	.Gravity_detector#0
273454	197	60	60	0.000001	23.130847	1	0	.Gravity_detector#0
274578	198	62	62	0.000001	23.012307	1	0	.Gravity_detector#0
275673	199	60	60	1.332385	23.224615	1	0	.Gravity_detector#0
276890	200	65	65	0.000001	22.376307	1	0	.Gravity_detector#0
278276	200	71	71	0.000001	9.345461	0	0	.Gravity_detector#0
279478	201	57	57	0.000001	5.088769	0	0	.Gravity_detector#0
280699	201	64	64	0.000001	5.440924	0	0	.Gravity_detector#0
281986	202	68	68	0.000001	5.677000	0	0	.Gravity_detector#0
283349	202	73	73	0.000001	22.809000	1	0	.Gravity_detector#0
284518	202	59	59	0.000001	23.213384	1	0	.Gravity_detector#0
285693	203	66	66	0.260385	23.483231	1	0	.Gravity_detector#0
287012	204	0	0	0.000000	0.000000	0	0	
