#time	num	step	id	activity	form	controls	max_deep	visibility	px	py	wvx	wvy	wvw	wvh
10391	5	4	c9f926e	.MainActivity	ttm5Os15cSvxr7_mQMeMtg	6	7	0	0	0	0	0	0	0
65190	5	54	49da40c	.Gravity_detector	cpqYZ4jYy6gzhiFnlXQOiQ	1	6	0	0	0	0	0	0	0
