#time	step	rec_b	rec_bs	tra_b	tra_bs
335883	246	440	440	1218	1218
336994	248	105	105	171	171
339125	250	440	440	1218	1218
340219	250	171	171	171	171
341272	251	0	0	66	66
342306	252	5719	5719	1355	1355
343388	253	276	276	342	342
344436	254	1247	1247	2976	2976
346550	256	440	440	2042	2042
347585	258	1813	1813	12651	12651
348638	259	3767	3767	11358	11358
349696	260	2768	2768	15444	15444
350729	261	5992	5992	3443	3443
353909	264	374	374	1218	1218
354978	265	19238	19238	5439	5439
357056	267	0	0	66	66
358102	268	66	66	66	66
359185	269	276	276	342	342
360248	269	2525	2525	4871	4871
361309	270	65384	65384	5494	5494
362356	271	440	440	1091	1091
365513	274	105	105	171	171
367630	276	0	0	66	66
368688	277	506	506	1218	1218
369749	278	0	0	105	105
370790	279	105	105	66	66
371839	280	132	132	1234	1234
372888	282	440	440	66	66
373938	282	171	171	171	171
374988	283	105	105	171	171
376033	284	374	374	1218	1218
377094	285	66	66	95	95
378144	286	8563	8563	5663	5663
379236	287	3515	3515	4997	4997
380299	288	795	795	4590	4590
381362	289	871	871	942	942
382395	290	5329	5329	5049	5049
383433	291	2784	2784	3503	3503
385572	294	105	105	171	171
386650	294	374	374	1218	1218
388731	297	0	0	105	105
389834	298	545	545	1284	1284
391937	300	458	458	288	288
392995	301	66	66	1152	1152
394036	302	374	374	66	66
396130	304	0	0	1152	1152
397191	305	66	66	0	0
398252	306	15884	15884	5482	5482
399289	307	3178	3178	638	638
400335	308	440	440	1323	1323
401369	309	105	105	66	66
402411	310	6440	6440	4980	4980
403473	311	24090	24090	5441	5441
404534	311	1332	1332	3149	3149
408742	315	78	78	0	0
409791	316	194	194	132	132
410914	316	38170	38170	15310	15310
412093	317	1531	1531	1966	1966
413219	317	17797	17797	4248	4248
414297	318	1864	1864	303	303
416440	320	105	105	2633	2633
417489	321	1012	1012	1537	1537
418521	322	1830	1830	4612	4612
419568	323	6014	6014	2707	2707
420629	323	1454	1454	1352	1352
421676	324	8685	8685	4291	4291
422710	325	374	374	66	66
425932	328	194	194	144	144
426982	329	5460	5460	1292	1292
428063	330	1142	1142	4760	4760
430194	332	0	0	1152	1152
431270	333	374	374	66	66
433375	335	2650	2650	132	132
434435	336	506	506	1323	1323
436524	338	3264	3264	7593	7593
437565	339	440	440	1218	1218
438603	340	4914	4914	276	276
439666	341	552	552	1124	1124
440731	342	66	66	280	280
441807	342	11925	11925	3484	3484
442864	343	9114	9114	4277	4277
443932	344	120	120	294	294
445048	345	27278	27278	7639	7639
446142	345	2614	2614	1414	1414
447251	346	0	0	66	66
449347	348	6799	6799	2740	2740
450391	348	489	489	654	654
451459	349	20673	20673	6636	6636
452551	349	35449	35449	13470	13470
453629	350	45653	45653	27323	27323
454689	351	3070	3070	626	626
459947	356	97	97	66	66
460993	357	0	0	66	66
462053	358	555	555	720	720
463107	359	20386	20386	8451	8451
464171	359	17411	17411	5970	5970
465247	360	10517	10517	4117	4117
466297	361	799	799	66	66
469480	364	3352	3352	790	790
471579	366	147	147	66	66
472657	367	374	374	1053	1053
473710	367	12535	12535	3763	3763
476861	370	0	0	66	66
477912	371	132	132	144	144
478951	372	5369	5369	2485	2485
480010	373	6630	6630	2876	2876
481086	374	3419	3419	1682	1682
482150	375	11159	11159	591	591
483205	375	8643	8643	1695	1695
484276	376	516	516	149	149
485314	377	5461	5461	765	765
486393	378	22336	22336	6280	6280
487491	379	502	502	788	788
488556	380	26343	26343	9835	9835
489616	381	8284	8284	4907	4907
