#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
650254	522	Explicit concurrent copying	159	2048	4096	 49	0.078	35.718
651980	524	Explicit concurrent copying	144	2048	4096	 50	0.074	78.916
652119	524	Explicit concurrent copying	144	2048	4096	 50	0.065	30.457
652666	525	Explicit concurrent copying	144	2048	4096	 50	0.054	26.612
654026	526	Explicit concurrent copying	159	2048	4096	 49	0.072	41.995
654320	526	Explicit concurrent copying	160	2048	4096	 50	0.052	27.636
655445	527	Explicit concurrent copying	144	2048	4096	 50	0.055	28.488
655977	528	Explicit concurrent copying	159	2048	4096	 49	0.074	30.666
657748	530	Explicit concurrent copying	144	2048	4096	 50	0.093	79.731
686117	557	Explicit concurrent copying	144	2048	4096	 50	0.083	74.429
730216	597	Explicit concurrent copying	144	2048	4096	 50	0.082	130.383
760648	623	Explicit concurrent copying	144	2048	4096	 50	0.059	69.013
781906	643	Explicit concurrent copying	159	2048	4096	 49	0.092	58.007
782124	643	Explicit concurrent copying	144	2048	4096	 50	0.051	27.110
818336	674	Explicit concurrent copying	144	2048	4096	 50	0.064	37.375
833237	688	Explicit concurrent copying	144	2048	4096	 50	0.067	45.996
834460	688	Explicit concurrent copying	144	2048	4096	 50	0.063	28.630
837392	691	Explicit concurrent copying	175	2048	4096	 49	0.063	46.758
838728	692	Explicit concurrent copying	144	2048	4096	 50	0.061	41.751
839197	693	Explicit concurrent copying	144	2048	4096	 50	0.068	33.056
839885	693	Explicit concurrent copying	144	2048	4096	 50	0.053	29.073
840132	694	Explicit concurrent copying	159	2048	4096	 49	0.143	44.417
840384	694	Explicit concurrent copying	160	2048	4096	 50	0.067	29.028
840619	694	Explicit concurrent copying	144	2048	4096	 50	0.065	28.628
840873	694	Explicit concurrent copying	159	2048	4096	 49	0.071	46.303
841687	695	Explicit concurrent copying	144	2048	4096	 50	0.08	51.396
842002	696	Explicit concurrent copying	160	2048	4096	 50	0.054	29.166
842159	696	Explicit concurrent copying	144	2048	4096	 50	0.057	28.711
842440	696	Explicit concurrent copying	159	2048	4096	 49	0.077	42.844
843070	696	Explicit concurrent copying	144	2048	4096	 50	0.087	42.061
843319	697	Explicit concurrent copying	144	2048	4096	 50	0.058	26.793
843602	697	Explicit concurrent copying	159	2048	4096	 49	0.067	27.099
844201	697	Explicit concurrent copying	144	2048	4096	 50	0.086	57.525
845015	698	Explicit concurrent copying	144	2048	4096	 50	0.085	51.489
851329	703	Explicit concurrent copying	159	2048	4096	 49	0.078	30.627
851607	704	Explicit concurrent copying	176	2048	4096	 50	0.078	30.167
852106	704	Explicit concurrent copying	144	2048	4096	 50	0.133	65.377
852341	704	Explicit concurrent copying	159	2048	4096	 49	0.073	30.787
852901	705	Explicit concurrent copying	144	2048	4096	 50	0.071	41.365
853912	705	Explicit concurrent copying	144	2048	4096	 50	0.071	44.378
855843	707	Explicit concurrent copying	144	2048	4096	 50	0.06	49.581
856907	708	Explicit concurrent copying	159	2048	4096	 49	0.079	55.976
858563	710	Explicit concurrent copying	144	2048	4096	 50	0.066	43.037
870644	721	Explicit concurrent copying	160	2048	4096	 50	0.074	84.746
920519	763	Explicit concurrent copying	144	2048	4096	 50	0.091	62.832
