#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
161259	121	Explicit concurrent copying	384	2048	4096	 49	0.071	53.276
163368	122	Explicit concurrent copying	402	2048	4096	 49	0.078	39.980
165124	123	Explicit concurrent copying	415	2048	4096	 49	0.07	55.407
167496	125	Explicit concurrent copying	432	2048	4096	 49	0.077	45.362
169897	126	Explicit concurrent copying	400	2048	4096	 49	0.285	102.822
171831	128	Explicit concurrent copying	414	2048	4096	 49	0.299	102.785
173580	129	Explicit concurrent copying	352	2048	4096	 50	2.199	67.016
175349	130	Explicit concurrent copying	400	2048	4096	 49	0.266	62.885
177339	132	Explicit concurrent copying	384	2048	4096	 49	0.058	51.406
179709	133	Explicit concurrent copying	336	2048	4096	 49	0.228	67.463
181428	135	Explicit concurrent copying	319	2048	4096	 49	0.06	54.652
183609	136	Explicit concurrent copying	396	2048	4096	 49	0.103	47.990
185545	137	Explicit concurrent copying	400	2048	4096	 49	0.086	64.043
187778	138	Explicit concurrent copying	417	2048	4096	 50	0.107	83.998
189232	138	Explicit concurrent copying	370	2048	4096	 49	0.201	84.084
191482	139	Explicit concurrent copying	416	2048	4096	 50	0.083	60.768
193675	141	Explicit concurrent copying	367	2048	4096	 49	0.142	39.924
198652	144	Explicit concurrent copying	335	2048	4096	 49	0.064	57.774
203591	148	Explicit concurrent copying	320	2048	4096	 50	0.064	105.530
206577	150	Explicit concurrent copying	304	2048	4096	 49	0.057	74.584
211980	154	Explicit concurrent copying	304	2048	4096	 49	0.241	52.390
214628	156	Explicit concurrent copying	319	2048	4096	 50	0.059	64.619
216524	157	Explicit concurrent copying	319	2048	4096	 49	0.072	48.843
218357	158	Explicit concurrent copying	320	2048	4096	 49	0.071	50.714
220308	160	Explicit concurrent copying	238	2048	4096	 49	0.07	53.094
221401	161	Explicit concurrent copying	144	2048	4096	 50	0.072	37.133
224124	163	Explicit concurrent copying	303	2048	4096	 49	0.67	97.399
225695	164	Explicit concurrent copying	382	2048	4096	 49	0.079	53.406
227844	165	Explicit concurrent copying	403	2048	4096	 50	0.066	123.369
229925	167	Explicit concurrent copying	416	2048	4096	 49	0.064	43.741
232536	169	Explicit concurrent copying	415	2048	4096	 49	0.546	52.379
234212	170	Explicit concurrent copying	336	2048	4096	 49	0.06	56.001
236414	172	Explicit concurrent copying	303	2048	4096	 49	0.053	52.081
238341	173	Explicit concurrent copying	320	2048	4096	 49	0.058	36.426
240056	174	Explicit concurrent copying	335	2048	4096	 49	0.17	49.854
242143	176	Explicit concurrent copying	336	2048	4096	 49	0.06	35.696
244037	177	Explicit concurrent copying	304	2048	4096	 49	0.05	36.846
246024	178	Explicit concurrent copying	335	2048	4096	 49	0.212	53.785
248033	180	Explicit concurrent copying	381	2048	4096	 49	0.06	66.758
249986	181	Explicit concurrent copying	414	2048	4096	 50	0.071	70.448
251927	182	Explicit concurrent copying	401	2048	4096	 50	0.07	49.455
254002	184	Explicit concurrent copying	418	2048	4096	 50	0.062	53.155
255797	185	Explicit concurrent copying	384	2048	4096	 50	0.066	57.785
257687	186	Explicit concurrent copying	400	2048	4096	 49	0.059	39.229
